#This is a list of long-lived, "immortal", malware domains
wittyvideos.com,immortal malware domain
woo-gie.com,immortal malware domain
3dpsys.com,immortal malware domain
thedeadpit.com,immortal malware domain
0001.2waky.com,immortal malware domain
0452jhw.com,immortal malware domain
123-jewelry-store.com,immortal malware domain
123.8w8w8w.com.cn,immortal malware domain
beta.spb0.ru,immortal malware domain
24hkgame.com,immortal malware domain
2domeinold.ru,immortal malware domain
365tc.com,immortal malware domain
384756783900.cn,immortal malware domain
3omrelk.com,immortal malware domain
43242.com,immortal malware domain
4c92j5.cz.cc,immortal malware domain
51friend.anytome.com,immortal malware domain
51she.info,immortal malware domain
5organic.com,immortal malware domain
88kv.cn,immortal malware domain
a2132959.0lx.net,immortal malware domain
aamar106fm.com,immortal malware domain
abionet.com,immortal malware domain
academiajo.com,immortal malware domain
activ.by,immortal malware domain
adobe-update.com,immortal malware domain
adsense-google.ru,immortal malware domain
adware-guard.com,immortal malware domain
ahmedshow.com,immortal malware domain
aipp-italia.it,immortal malware domain
akciove-fondy.eu,immortal malware domain
aksai-katod.ru,immortal malware domain
alinaturu.info,immortal malware domain
alkhwarzmy.com,immortal malware domain
all4gsm.uni.cc,immortal malware domain
allenduckworth.com,immortal malware domain
alphaxiom.com,immortal malware domain
amvgvvyasde.myfw.us,immortal malware domain
anayaoeventos.com,immortal malware domain
ancientroom.com,immortal malware domain
archwiadomosci.com,immortal malware domain
arlenekunzfineart.com,immortal malware domain
armadaneo.info,immortal malware domain
armazones.com,immortal malware domain
assistantbilling.in,immortal malware domain
athear.com,immortal malware domain
awotbop.com,immortal malware domain
banage.ru,immortal malware domain
barkulen.narod.ru,immortal malware domain
bb-bouncy.com,immortal malware domain
bbnp.com,immortal malware domain
bbzassociates.com,immortal malware domain
beachbreak.com,immortal malware domain
beldiplomcom.75.com1.ru,immortal malware domain
berezutskii.narod.ru,immortal malware domain
berjke.ru,immortal malware domain
beroepsperformancescan.nl,immortal malware domain
besplatnos.ru,immortal malware domain
bestdarkstar.info,immortal malware domain
bestgisjobs.co.uk,immortal malware domain
bestload.in,immortal malware domain
besttru.qpoe.com,immortal malware domain
bestway.cz,immortal malware domain
bhq6bimdfwwo857xdurp.ru,immortal malware domain
bigtruckstopseek.cn,immortal malware domain
binglbalts.com,immortal malware domain
bioito.cn,immortal malware domain
blackporn1.com,immortal malware domain
blackry.com,immortal malware domain
bodog.hu,immortal malware domain
bodyscanfit.com,immortal malware domain
boobsgirl.cn,immortal malware domain
bookzula.com,immortal malware domain
bostelbekersv.com,immortal malware domain
bowling.co.kr,immortal malware domain
braas.com.ua,immortal malware domain
breakingtackles.com,immortal malware domain
bronotak.cn,immortal malware domain
bronzesage.ru,immortal malware domain
browserupdaters.com,immortal malware domain
brozsearch.com,immortal malware domain
btwosfunny.onthenetas.com,immortal malware domain
bulguide.com,immortal malware domain
